编号,类别,处理方式,首次出现,出现次数,中文,English
1,界面文案,直接替换,desktop/src/animation_lab.gd:128,1,动作：%s  ·  片段：%s\n帧：%d / %d  ·  循环：%d  ·  %s\n渲染：%d FPS  ·  本次最长帧：%.1f ms,Action: %s  ·  Clip: %s\nFrame: %d / %d  ·  Loop: %d  ·  %s\nRendering: %d FPS  ·  Longest frame this run: %.1f ms
2,界面文案,直接替换,desktop/src/animation_lab.gd:128,1,连续测试中,Running all animations
3,界面文案,直接替换,desktop/src/animation_lab.gd:128,1,已暂停,Paused
4,界面文案,直接替换,desktop/src/animation_lab.gd:128,1,播放中,Playing
5,界面文案,直接替换,desktop/src/animation_lab.gd:142,1,准备工作,Getting ready to work
6,界面文案,直接替换,desktop/src/animation_lab.gd:142,1,工作循环,Working loop
7,界面文案,直接替换,desktop/src/animation_lab.gd:142,1,收好电脑,Putting the laptop away
8,界面文案,直接替换,desktop/src/animation_lab.gd:144,1,进入,Start
9,界面文案,直接替换,desktop/src/animation_lab.gd:144,2,保持,Hold
10,界面文案,直接替换,desktop/src/animation_lab.gd:144,1,收尾,Finish
11,界面文案,直接替换,desktop/src/animation_lab.gd:27,1,Lulu · 动画控制面板,Lulu · Animation controls
12,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,站立,Standing
13,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,左右看 A,Looking around A
14,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,左右看 B,Looking around B
15,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,眨眼,Blinking
16,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,睡觉 · 长版,Sleeping · Long
17,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,睡觉 · 短版,Sleeping · Short
18,界面文案,直接替换,desktop/src/animation_lab.gd:3,2,晴天,Sunny
19,界面文案,直接替换,desktop/src/animation_lab.gd:3,2,下雨,Rainy
20,界面文案,直接替换,desktop/src/animation_lab.gd:3,2,阴天,Cloudy
21,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,看书陪伴,Reading together
22,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,看书备选,Reading alternate
23,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,处理任务,Working on a task
24,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,挥手,Waving
25,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,赌气,Sulking
26,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,提醒 OK,Reminder confirmed
27,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,退出挥手,Goodbye wave
28,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,拖动 · 捏脸,Dragging · Cheek pinch
29,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,久坐 · 喂糖,Sitting too long · Candy time
30,界面文案,直接替换,desktop/src/animation_lab.gd:3,1,喂糖 · 近景备选,Candy time · Close-up alternate
